gene_name,refseq_id,miR,SNP,diseases,distance,experimentally_confirmed
IL15,NM_000585,hsa-miR-203,rs10519613,Leukemia,0,
APC,NM_000038,hsa-miR-30a-3p,rs1804197,Autism,0,
ESR1,NM_001122740,hsa-miR-122,rs9341070,"Breast cancer, Type 2 diabetes",0,
SERPINE1,NM_001165413,hsa-miR-10b,rs2227714,"Portopulmonary hypertension",0,
SERPINE1,NM_001165413,hsa-miR-10a,rs2227714,"Portopulmonary hypertension",0,
GPR85,NM_001146266,hsa-miR-153,rs56080411,Schizophrenia,0,
GPR85,NM_001146266,hsa-miR-153,rs56080411,Schizophrenia,0,
ETS1,NM_001143820,hsa-miR-300,rs1128334,"Systemic lupus erythematosus",0,
ETS1,NM_001143820,hsa-miR-381,rs1128334,"Systemic lupus erythematosus",0,
ETS1,NM_001143820,hsa-miR-381,rs1128334,"Systemic lupus erythematosus",0,
CDON,NM_016952,hsa-miR-181a,rs3737336,"Prostate cancer",0,
CDON,NM_016952,hsa-miR-181d,rs3737336,"Prostate cancer",0,
CDON,NM_016952,hsa-miR-181c,rs3737336,"Prostate cancer",0,
CDON,NM_016952,hsa-miR-181b,rs3737336,"Prostate cancer",0,
BMPR1B,NM_001203,hsa-miR-125b,rs1434536,"Breast cancer",0,Yes
BMPR1B,NM_001203,hsa-miR-125a-5p,rs1434536,"Breast cancer",0,
CCDC97,NM_052848,hsa-miR-210,rs2241718,"Gallbladder cancer, Chronic obstructive pulmonary disease",0,
SNCA,NM_007308,hsa-miR-499-3p,rs17016074,"Parkinson's disease",0,
KIF3C,NM_002254,hsa-miR-505,rs6728684,"Prostate cancer",0,
CALM1,NM_006888,hsa-miR-497,rs3814843,"Ischemic stroke",0,
CALM1,NM_006888,hsa-miR-497,rs3814843,"Ischemic stroke",0,
GNB3,NM_002075,hsa-miR-325,rs5446,"Kidney disease",0,
PDYN,NM_024411,hsa-miR-448,rs2235749,"Cocaine dependence",0,
CALM1,NM_006888,hsa-miR-424,rs3814843,"Ischemic stroke",0,
CALM1,NM_006888,hsa-miR-424,rs3814843,"Ischemic stroke",0,
TAP2,NM_000544,hsa-miR-190b,rs10484565,"Autoimmune diseases",0,
CALM1,NM_006888,hsa-miR-195,rs3814843,"Ischemic stroke",0,
CALM1,NM_006888,hsa-miR-195,rs3814843,"Ischemic stroke",0,
TAP2,NM_000544,hsa-miR-190,rs10484565,"Autoimmune diseases",0,
CALM1,NM_006888,hsa-miR-15a,rs3814843,"Ischemic stroke",0,
IL13,NM_002188,hsa-miR-615-5p,rs848,"Psoriatic arthritis, Psoriasis",0,
GATA4,NM_002052,hsa-miR-556-5p,rs12458,"Congenital heart disease",0,
CAV1,NM_001172895,hsa-miR-1308,rs9920,"Prostate cancer",0,
HLA-DQB2,NR_003937,hsa-miR-641,rs1573649,"Type 1 diabetes",0,
ADAM33,NM_025220,hsa-miR-1205,rs2787094,"Allergic rhinitis, Chronic obstructive pulmonary disease",0,
NBN,NM_002485,hsa-miR-654-3p,rs1063054,"Lung cancer",0,
MAPT,NM_016834,hsa-miR-1205,rs7521,"Parkinson's disease",0,
LEPREL2,NM_014262,hsa-miR-210,rs1047776,Obesity,0,
LOC100379224,NR_033341,hsa-miR-573,rs3746319,"Alzheimer's disease",0,
