gene_name,refseq_id,miR,SNP,diseases,distance,experimentally_confirmed
LOC100379224,NR_033341,hsa-miR-573,rs3746319,"Alzheimer's disease",0,
LOC100379224,NR_033341,hsa-miR-185,rs4508518,"Alzheimer's disease",0,
LIPA,NM_001127605,hsa-miR-1324,rs13500,"Alzheimer's disease",0,
TRAF2,NM_021138,hsa-miR-199a-5p,rs7852970,"Alzheimer's disease",0,
TRAF2,NM_021138,hsa-miR-199b-5p,rs7852970,"Alzheimer's disease",0,
OLR1,NM_001172632,hsa-miR-24,rs1050286,"Alzheimer's disease",0,
FAS,NM_152872,hsa-miR-23b,rs1468063,"Alzheimer's disease",-70,
FAS,NM_152872,hsa-miR-23a,rs1468063,"Alzheimer's disease",-70,
FAS,NM_152872,hsa-miR-23a,rs1468063,"Alzheimer's disease",-70,
PLAU,NM_002658,hsa-miR-143,rs4065,"Asthma, Alzheimer's disease",71,
MLXIP,NM_014938,hsa-miR-590-3p,rs3741452,"Alzheimer's disease",84,
MLXIP,NM_014938,hsa-miR-29b,rs3741452,"Alzheimer's disease",-99,
MLXIP,NM_014938,hsa-miR-29c,rs3741452,"Alzheimer's disease",-99,
MLXIP,NM_014938,hsa-miR-29a,rs3741452,"Alzheimer's disease",-99,
LIPA,NM_001127605,hsa-miR-125a-5p,rs13500,"Alzheimer's disease",122,
LIPA,NM_001127605,hsa-miR-125b,rs13500,"Alzheimer's disease",122,
CDK5R1,NM_003885,hsa-miR-130b,rs735555,"Alzheimer's disease",-134,
CDK5R1,NM_003885,hsa-miR-301,rs735555,"Alzheimer's disease",-134,
CDK5R1,NM_003885,hsa-miR-148b,rs735555,"Alzheimer's disease",-134,
CDK5R1,NM_003885,hsa-miR-148a,rs735555,"Alzheimer's disease",-134,
CDK5R1,NM_003885,hsa-miR-130a,rs735555,"Alzheimer's disease",-134,
CDK5R1,NM_003885,hsa-miR-152,rs735555,"Alzheimer's disease",-134,
CDK5R1,NM_003885,hsa-miR-148b,rs735555,"Alzheimer's disease",-134,
CDK5R1,NM_003885,hsa-miR-148a,rs735555,"Alzheimer's disease",-134,
CDK5R1,NM_003885,hsa-miR-152,rs735555,"Alzheimer's disease",-134,
CDK5R1,NM_003885,hsa-miR-26a,rs735555,"Alzheimer's disease",-173,
CDK5R1,NM_003885,hsa-miR-26b,rs735555,"Alzheimer's disease",-173,
CDK5R1,NM_003885,hsa-miR-1297,rs735555,"Alzheimer's disease",-173,
MLXIP,NM_014938,hsa-miR-31,rs3741452,"Alzheimer's disease",-192,
TOM1L2,NM_001082968,hsa-miR-454,rs3183702,"Alzheimer's disease",-194,
TOM1L2,NM_001082968,hsa-miR-301b,rs3183702,"Alzheimer's disease",-194,
TOM1L2,NM_001082968,hsa-miR-130b,rs3183702,"Alzheimer's disease",-194,
TOM1L2,NM_001082968,hsa-miR-130a,rs3183702,"Alzheimer's disease",-194,
TOM1L2,NM_001082968,hsa-miR-301a,rs3183702,"Alzheimer's disease",-194,
MLXIP,NM_014938,hsa-miR-506,rs3741452,"Alzheimer's disease",203,
MLXIP,NM_014938,hsa-miR-124,rs3741452,"Alzheimer's disease",203,
CDK5R1,NM_003885,hsa-miR-103,rs735555,"Alzheimer's disease",-206,
CDK5R1,NM_003885,hsa-miR-107,rs735555,"Alzheimer's disease",-206,
CDK5R1,NM_003885,hsa-miR-497,rs735555,"Alzheimer's disease",-207,
CDK5R1,NM_003885,hsa-miR-195,rs735555,"Alzheimer's disease",-207,
CDK5R1,NM_003885,hsa-miR-16,rs735555,"Alzheimer's disease",-207,
CDK5R1,NM_003885,hsa-miR-15a,rs735555,"Alzheimer's disease",-207,
CDK5R1,NM_003885,hsa-miR-424,rs735555,"Alzheimer's disease",-207,
CDK5R1,NM_003885,hsa-miR-15b,rs735555,"Alzheimer's disease",-207,
CDK5R1,NM_003885,hsa-miR-103,rs735555,"Alzheimer's disease",-207,
CDK5R1,NM_003885,hsa-miR-107,rs735555,"Alzheimer's disease",-207,
CDK5R1,NM_003885,hsa-miR-103,rs735555,"Alzheimer's disease",-207,
CDK5R1,NM_003885,hsa-miR-107,rs735555,"Alzheimer's disease",-207,
CDK5R1,NM_003885,hsa-miR-503,rs735555,"Alzheimer's disease",-208,
CDK5R1,NM_003885,hsa-miR-195,rs735555,"Alzheimer's disease",-208,
CDK5R1,NM_003885,hsa-miR-15a,rs735555,"Alzheimer's disease",-208,
CDK5R1,NM_003885,hsa-miR-15b,rs735555,"Alzheimer's disease",-208,
CDK5R1,NM_003885,hsa-miR-16,rs735555,"Alzheimer's disease",-208,
CDK5R1,NM_003885,hsa-miR-195,rs735555,"Alzheimer's disease",-208,
CDK5R1,NM_003885,hsa-miR-15a,rs735555,"Alzheimer's disease",-208,
CDK5R1,NM_003885,hsa-miR-16,rs735555,"Alzheimer's disease",-208,
CDK5R1,NM_003885,hsa-miR-15b,rs735555,"Alzheimer's disease",-208,
CDK5R1,NM_003885,hsa-miR-376a,rs735555,"Alzheimer's disease",-212,
CDK5R1,NM_003885,hsa-miR-376b,rs735555,"Alzheimer's disease",-212,
CDK5R1,NM_003885,hsa-miR-129-5p,rs735555,"Alzheimer's disease",-253,
CDK5R1,NM_003885,hsa-miR-186,rs735555,"Alzheimer's disease",-266,
MLXIP,NM_014938,hsa-miR-30e,rs3741452,"Alzheimer's disease",-325,
MLXIP,NM_014938,hsa-miR-30a,rs3741452,"Alzheimer's disease",-325,
MLXIP,NM_014938,hsa-miR-30b,rs3741452,"Alzheimer's disease",-325,
MLXIP,NM_014938,hsa-miR-30d,rs3741452,"Alzheimer's disease",-325,
MLXIP,NM_014938,hsa-miR-30c,rs3741452,"Alzheimer's disease",-325,
ATP8A1,NM_001105529,hsa-miR-30e,rs12639920,"Alzheimer's disease",-346,
ATP8A1,NM_001105529,hsa-miR-30c,rs12639920,"Alzheimer's disease",-346,
ATP8A1,NM_001105529,hsa-miR-30b,rs12639920,"Alzheimer's disease",-346,
ATP8A1,NM_001105529,hsa-miR-30d,rs12639920,"Alzheimer's disease",-346,
ATP8A1,NM_001105529,hsa-miR-30a,rs12639920,"Alzheimer's disease",-346,
PLAU,NM_002658,hsa-miR-181a,rs4065,"Asthma, Alzheimer's disease",-352,
PLAU,NM_002658,hsa-miR-181b,rs4065,"Asthma, Alzheimer's disease",-352,
PLAU,NM_002658,hsa-miR-181c,rs4065,"Asthma, Alzheimer's disease",-352,
PLAU,NM_002658,hsa-miR-181d,rs4065,"Asthma, Alzheimer's disease",-352,
CDK5R1,NM_003885,hsa-miR-27a,rs735555,"Alzheimer's disease",-354,
CDK5R1,NM_003885,hsa-miR-27b,rs735555,"Alzheimer's disease",-354,
CDK5R1,NM_003885,hsa-miR-27a,rs735555,"Alzheimer's disease",401,
CDK5R1,NM_003885,hsa-miR-27b,rs735555,"Alzheimer's disease",401,
CDK5R1,NM_003885,hsa-miR-27a,rs735555,"Alzheimer's disease",401,
CDK5R1,NM_003885,hsa-miR-27b,rs735555,"Alzheimer's disease",401,
LIPA,NM_001127605,hsa-miR-148a,rs13500,"Alzheimer's disease",423,
LIPA,NM_001127605,hsa-miR-148b,rs13500,"Alzheimer's disease",423,
LIPA,NM_001127605,hsa-miR-152,rs13500,"Alzheimer's disease",423,
TOM1L2,NM_001082968,hsa-miR-496,rs3183702,"Alzheimer's disease",-433,
CDK5R1,NM_003885,hsa-miR-186,rs735555,"Alzheimer's disease",-449,
MLXIP,NM_014938,hsa-miR-30c,rs3741452,"Alzheimer's disease",454,
MLXIP,NM_014938,hsa-miR-30e,rs3741452,"Alzheimer's disease",454,
MLXIP,NM_014938,hsa-miR-30b,rs3741452,"Alzheimer's disease",454,
MLXIP,NM_014938,hsa-miR-30a,rs3741452,"Alzheimer's disease",454,
MLXIP,NM_014938,hsa-miR-30d,rs3741452,"Alzheimer's disease",454,
CDK5R1,NM_003885,hsa-miR-217,rs735555,"Alzheimer's disease",-458,
CDK5R1,NM_003885,hsa-miR-200b,rs735555,"Alzheimer's disease",-465,
CDK5R1,NM_003885,hsa-miR-25,rs735555,"Alzheimer's disease",-499,
CDK5R1,NM_003885,hsa-miR-183,rs735555,"Alzheimer's disease",-516,
CDK5R1,NM_003885,hsa-miR-183,rs735555,"Alzheimer's disease",-516,
FAS,NM_152872,hsa-let-7a,rs1468063,"Alzheimer's disease",523,
FAS,NM_152872,hsa-let-7g,rs1468063,"Alzheimer's disease",523,
FAS,NM_152872,hsa-let-7b,rs1468063,"Alzheimer's disease",523,
FAS,NM_152872,hsa-let-7d,rs1468063,"Alzheimer's disease",523,
FAS,NM_152872,hsa-miR-98,rs1468063,"Alzheimer's disease",523,
FAS,NM_152872,hsa-let-7f,rs1468063,"Alzheimer's disease",523,
FAS,NM_152872,hsa-let-7i,rs1468063,"Alzheimer's disease",523,
FAS,NM_152872,hsa-let-7c,rs1468063,"Alzheimer's disease",523,
FAS,NM_152872,hsa-let-7e,rs1468063,"Alzheimer's disease",523,
CDK5R1,NM_003885,hsa-miR-23b,rs735555,"Alzheimer's disease",566,
CDK5R1,NM_003885,hsa-miR-23a,rs735555,"Alzheimer's disease",566,
CDK5R1,NM_003885,hsa-miR-23a,rs735555,"Alzheimer's disease",567,
CDK5R1,NM_003885,hsa-miR-23b,rs735555,"Alzheimer's disease",567,
CDK5R1,NM_003885,hsa-miR-375,rs735555,"Alzheimer's disease",578,
OLR1,NM_001172632,hsa-let-7b,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7g,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7i,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7d,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7c,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7e,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7a,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7f,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-miR-202,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-miR-98,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7b,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7g,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7i,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7c,rs1050286,"Alzheimer's disease",599,
OLR1,NM_001172632,hsa-let-7e,rs1050286,"Alzheimer's disease",599,
