gene_name,refseq_id,miR,SNP,diseases,distance,experimentally_confirmed
ESR1,NM_001122740,hsa-miR-122,rs9341070,"Breast cancer, Type 2 diabetes",0,
BMPR1B,NM_001203,hsa-miR-125b,rs1434536,"Breast cancer",0,Yes
BMPR1B,NM_001203,hsa-miR-125a-5p,rs1434536,"Breast cancer",0,
GPX1,NM_201397,hsa-miR-1233,rs1050450,"Breast cancer, Lung cancer, Kashin-Beck disease",0,
ZNF350,NM_021632,hsa-miR-150,rs2278414,"Breast cancer",0,
VTCN1,NM_024626,hsa-miR-124,rs10754339,"Breast cancer",0,
GPX1,NM_201397,hsa-miR-129-3p,rs1050450,"Breast cancer, Lung cancer, Kashin-Beck disease",0,
SART1,NM_005146,hsa-miR-1302,rs754532,"Breast cancer",0,
CXCL12,NM_000609,hsa-miR-149,rs1801157,"Myocardial infarction, HIV-1, Non-Hodgkin lymphoma, Hepatocellular carcinoma, Breast cancer",0,
MBL2,NM_000242,hsa-miR-337-3p,rs10824792,"Breast cancer",0,
BMPR1B,NM_001203,hsa-miR-488,rs1434536,"Breast cancer",0,
VTCN1,NM_024626,hsa-miR-506,rs10754339,"Breast cancer",0,
SRD5A3,NM_024592,hsa-miR-508-5p,rs2538,"Breast cancer",0,
TPD52,NM_005079,hsa-miR-548c-3p,rs1042638,"Breast cancer",0,
VEGFA,NM_001025369,hsa-miR-591,rs3025039,"Behçet's disease, Myeloid leukemia, Kawasaki disease, Psoriatic arthritis, Late age-related macular degeneration, Non-small cell lung cancer, Breast cancer",0,
IGF1,NM_001111283,hsa-miR-624,rs6220,"Breast cancer",0,
CXCL12,NM_000609,hsa-miR-631,rs1801157,"Myocardial infarction, HIV-1, Non-Hodgkin lymphoma, Hepatocellular carcinoma, Breast cancer",0,
ESR2,NM_001437,hsa-miR-758,rs4986938,"Endometrial cancer, Breast cancer, Graves' disease, Primary open-angle glaucoma, Vascular dementia, Prostate cancer, Bilary tract cancer",0,
ATF1,NM_005171,hsa-miR-145,rs11169571,"Breast cancer",3,
ESR1,NM_001122740,hsa-miR-219-5p,rs2747648,"Breast cancer",-10,
ESR1,NM_001122740,hsa-miR-219,rs2747648,"Breast cancer",-10,
CYP19A1,NM_000103,hsa-miR-539,rs10046,"Breast cancer, Miscarriages, Essential hypertension",-11,
ESR1,NM_001122740,hsa-miR-221,rs2747648,"Breast cancer",-19,Yes
ESR1,NM_001122740,hsa-miR-222,rs2747648,"Breast cancer",-19,Yes
ESR1,NM_001122740,hsa-miR-222,rs2747648,"Breast cancer",-19,Yes
ESR1,NM_001122740,hsa-miR-221,rs2747648,"Breast cancer",-19,Yes
RELL1,NM_001085400,hsa-miR-30c,rs12142,"Breast cancer",-21,
RELL1,NM_001085400,hsa-miR-30a,rs12142,"Breast cancer",-21,
RELL1,NM_001085400,hsa-miR-30e,rs12142,"Breast cancer",-21,
RELL1,NM_001085400,hsa-miR-30d,rs12142,"Breast cancer",-21,
RELL1,NM_001085400,hsa-miR-30b,rs12142,"Breast cancer",-21,
ESR1,NM_001122740,hsa-miR-148a,rs1062577,"Breast cancer",31,
ESR1,NM_001122740,hsa-miR-148b,rs1062577,"Breast cancer",31,
